text,fraudulent
"Job Title: Data Entry Clerk
Company: Instant Hire Co
Location: Work From Anywhere
Salary: Cash paid daily
Contact: hiring.452@mail.com

URGENT HIRING!!! Instant Hire Co is looking for motivated individuals to start immediately. Congratulations, you have been selected, no resume review necessary. Unlimited earning potential, be your own boss, work whenever you want! This is a golden opportunity to make thousands weekly with zero skills required. No resume needed, no interview, start earning today! Text WORK to apply now, limited spots available.",1
"Job Title: Sales Executive
Company: Pioneer Consulting
Location: Remote
Salary: $55,000 - $70,000 per year
Contact: hr@careers-company.com

About the role: Pioneer Consulting is hiring a Sales Executive to join our growing team. Collaborate with cross-functional teams to deliver quarterly project milestones. Design wireframes and prototypes in Figma based on stakeholder feedback. Analyze sales data and present findings to the regional director monthly. We offer a comprehensive benefits package including health insurance, 401k matching, and paid time off. Candidates should have relevant experience and submit a resume and cover letter through our careers portal.",0
"Job Title: Accountant
Company: TopDollar Jobs Network
Location: Work From Anywhere
Salary: $3000-$5000 per WEEK guaranteed!!!
Contact: hiring.774@yahoo.com

URGENT HIRING!!! TopDollar Jobs Network is looking for motivated individuals to start immediately. No interview required, immediate hire, just fill out the form below. Send a copy of your ID and a voided check to begin the hiring process today. Simply reply with your bank details so we can set up direct deposit for training pay. No resume needed, no interview, start earning today! Text WORK to apply now, limited spots available.",1
"Job Title: Administrative Assistant
Company: Instant Hire Co
Location: Anywhere in the US
Salary: $3000-$5000 per WEEK guaranteed!!!
Contact: hiring.921@mail.com

URGENT HIRING!!! Instant Hire Co is looking for motivated individuals to start immediately. You will process payments and forward a portion via wire transfer. Send a copy of your ID and a voided check to begin the hiring process today. We need someone to receive packages at home and reship them internationally. No resume needed, no interview, start earning today! Text WORK to apply now, limited spots available.",1
"Job Title: Financial Analyst
Company: Vertex Logistics Inc
Location: New York, NY
Salary: Competitive, based on experience
Contact: hr@careers-company.com

About the role: Vertex Logistics Inc is hiring a Financial Analyst to join our growing team. Operate warehouse equipment safely in accordance with OSHA guidelines. Prepare monthly financial reports and reconcile departmental budgets. Maintain accurate records in the internal CRM and update pipeline status weekly. We offer a comprehensive benefits package including health insurance, 401k matching, and paid time off. Candidates should have relevant experience and submit a resume and cover letter through our careers portal.",0
"Job Title: Social Media Manager
Company: EasyMoney Careers
Location: Anywhere in the US
Salary: Cash paid daily
Contact: hiring.556@hotmail.com

URGENT HIRING!!! EasyMoney Careers is looking for motivated individuals to start immediately. Earn $500-$1000 per day working just 2 hours from home, no experience needed! We need someone to receive packages at home and reship them internationally. Unlimited earning potential, be your own boss, work whenever you want! No resume needed, no interview, start earning today! Text WORK to apply now, limited spots available.",1
"Job Title: Accountant
Company: QuickCash Solutions LLC
Location: Remote
Salary: Cash paid daily
Contact: hiring.864@yahoo.com

URGENT HIRING!!! QuickCash Solutions LLC is looking for motivated individuals to start immediately. You will process payments and forward a portion via wire transfer. We need someone to receive packages at home and reship them internationally. A small registration fee of $49 is required to activate your employee starter kit. No resume needed, no interview, start earning today! Text WORK to apply now, limited spots available.",1
"Job Title: Graphic Designer
Company: PrimeJobs Direct
Location: Anywhere in the US
Salary: $3000-$5000 per WEEK guaranteed!!!
Contact: hiring.783@gmail.com

URGENT HIRING!!! PrimeJobs Direct is looking for motivated individuals to start immediately. Simply reply with your bank details so we can set up direct deposit for training pay. Act fast, only 3 positions left, apply within 24 hours to secure your spot. Earn $500-$1000 per day working just 2 hours from home, no experience needed! No resume needed, no interview, start earning today! Text WORK to apply now, limited spots available.",1
"Job Title: Mystery Shopper
Company: PrimeJobs Direct
Location: Remote
Salary: $150,000/yr no experience needed
Contact: hiring.665@outlook.com

URGENT HIRING!!! PrimeJobs Direct is looking for motivated individuals to start immediately. Congratulations, you have been selected, no resume review necessary. Act fast, only 3 positions left, apply within 24 hours to secure your spot. You will process payments and forward a portion via wire transfer. No resume needed, no interview, start earning today! Text WORK to apply now, limited spots available.",1
"Job Title: Data Entry Clerk
Company: Anchor Financial Partners
Location: New York, NY
Salary: $65,000 annually
Contact: hr@corp.com

About the role: Anchor Financial Partners is hiring a Data Entry Clerk to join our growing team. Respond to customer inquiries via phone and email within SLA targets. Operate warehouse equipment safely in accordance with OSHA guidelines. Draft and edit marketing copy for the company blog and email newsletters. We offer a comprehensive benefits package including health insurance, 401k matching, and paid time off. Candidates should have relevant experience and submit a resume and cover letter through our careers portal.",0
